brewery_id,score,username,text,style,abv,brewery_name,beer_name
1075,4,gford217,Spirit Of Choice,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,thehand,Cooks Champagne,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,GbVDave,Very Drinkable,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3,dfitch81,My Favourite Riesling,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,RJLarse,Love,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,Beejay,Excellente,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,SurlyDuff,Excellente,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,Wetpaperbag,Solid tequila,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,largadeer,One of my favorite!,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,cswhitehorse,Amazing Drink,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,elniko,Makes The Best Jello Shots Ever!!,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,deltatauhobbit,"""the Best Jerry, The Best""",American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,woemad,Pinnacle Whipped Bodka,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,czechsaaz,Love this product!,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,Wasatch,I Love This Stuff !!!!,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,oberon,So So,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,Urbancaver,Smooth And Fruity.,Belgian Strong Dark Ale,8.1,Caldera Brewing Company,Vas Deferens Ale
1075,3.5,ccrida,seagrams escapes,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,brentk56,Variety Value,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,5,BeerZack,Line,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,russpowell,Enjoy there flavors,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,Spikester,Tasty if you can find it,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3,Dubbercody,Best Red Blend for the price,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3,ChainGangGuy,pretty good,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,Vancer,Very popular,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,ghostwalker,"Love The Cucumber Chili, Wish It Wasn't Discontinued.",American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,udubdawg,Beer,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,Bfarr,"Good, Cheap, Summer Lake Beer",American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,cburian,This Is Great!,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,flexabull,One of our favorites,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,mnwags,Like an old friend,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,NeroFiddled,A hidden gem,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,5,IntriqKen,Best Reisling!,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,JoshD,Delicious,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,lackenhauser,Yum!,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,kgotcher,Bitter Acrid Terrible Tea,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,MLegendre,Very good tea.....,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3,freed,Loving It,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,ddarden,Great tea!!,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,ElGordo,Fantastic Tea,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,BuckeyeNation,"Tasty blend of green, jasmine and oolong tea. Hard to find in stores where I live.",American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,Reidrover,ILOVETHISTEA,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,BeerLover99,"Good taste, but is it real Ginseng",American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,syrupjoe,Good taste And Good tea,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,BrewerB,Good stuff,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,robwestcott,Great Taste And Great Value!,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,vande,Leinenkugels Sunset Wheat,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,ColForbinBC,"Right On Target, Great After A Busy Day",American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3,harrymel,Excellent IPA,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,woosterbill,Best beer out of Colorado,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,ReelBigwigFish,Smirnoff Is Better Than,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,cbarrett4,Always Have Jb Original On Hand,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,chodinheaven,"""awesome""",American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,Beerandraiderfan,Yumm,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,MrVonzipper,A Drink That Stands Out; And Smooth As Well...,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,tempest,It is the first drink I check everytime,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,witster18,Yes I would buy again,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,jeff1973,very reasonally priced,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,Duff27,One fine bourbon,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3,Phelps,Red Stag stands alone,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,mgbickel,Good taste,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3,Jimmys,The only whiskey I drink,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,Scotchboy,Priced right and great quality,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3,TheGordianKnot,Best bourbon on earth.,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,loren01,A Bourbon Legend,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,rootbeerman,I would buy this drink over and over.,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,corby112,Smooth,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,inlimbo77,smoothy,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,youradhere,Always in my liquor cabinet,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,2.5,Thorpe429,Very Reasonally Priced,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,FosterJM,One Fine Bourbon,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,bobhits,Great value,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,u2carew,Goto,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3,beerman207,Good Deal,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,hawks10,Fresh and cheap,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,BEERchitect,Great beer!,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,msubulldog25,a crowd pleaer,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,climax,Black Cherry Tasty,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,AEK,.tastiest Of Tasties.,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3,Tilley4,I wouldn't buy it again,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,wcudwight,I Wouldn't Buy It Again,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,kzoobrew,I Like The Smooth Taste Good Finish,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,dudemuskie,I like the smooth taste good finish,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,elgiacomo,"Nice, Fresh, Tasty With Character",American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,ArrogantB,The Best Tasting Burbon Ive Come To Love The Most!!,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,stephens101,"Yes, Yes",American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,StaveHooks,"I Love All Jim Beam Products, Really Enjoy The Smoothness.",American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,GarrettMD,Smooth,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,barleywinefiend,I Love This Stuff,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,merlin48,Magnificent oak flavor!,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,jampics2,My favorite bourbon!,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,5,cjever19,Top Choice Every Time!,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,5,ThreeWiseMen,Good Job,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,philbertk,"When you want to experience perfection, look no further!",American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,Brent,What bourbon should be.,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3,Bubba83,I love Jim Bean,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,BeerAdvocate,Best bourbon under 50,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,mikereaser,I would definitely buy this quality bourbon again,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,jkrich,Just the best!!,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,SpdKilz,"Love it, cannot find it anywhere",American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,barleywinefiend,Jim Beam at it's best!,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,indiapaleale,Rich Aromatic,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,Cresant,What Bourbon Should Be.,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3,Bitterbill,Excellent wine.,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,hosehead83,Beautiful cabernet!,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,kshankar,Actually Quite Tasty,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,bump8628,Amazing Drink,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,WesWes,"""the Best Jerry, The Best""",American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3,beertunes,Pinnacle Whipped Bodka,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,ClockworkOrange,I Love This Stuff !!!!,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,organicbrewer,There's only one way to rock!,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,5,onix1agr,Love,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,dedrinker,Not as tasty as other Sangria's,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,woodychandler,On of our favorites!,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,therica,The Only Sangria For Me,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,rfgetz,Very Yummy,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,JohnGalt1,Finest Sangria for the price,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,5,womencantsail,Very Mild wine,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,ckeegan04,Delicious,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,WeisGuy,Great deal,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,Rmassimiano,Worse wine I've ever had,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,droomyster,Great every day wine,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,flagmantho,Love this wine for everyday table wine.,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,snaotheus,Absolutely undrinkable!,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,RoyalT,Bottle are better,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,Slatetank,Real Good Crisp Taste,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,philbe311,Delicious Beer,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,Deuane,Fresh and cheap,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,Halcyondays,Great beer!,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,CaptainIPA,a crowd pleaer,American Porter,5.8,Caldera Brewing Company,Pilot Rock Porter
1075,4.5,anchordrinker,My red sauce favorite,American Porter,5.8,Caldera Brewing Company,Pilot Rock Porter
1075,4.5,spointon,excellent,American Porter,5.8,Caldera Brewing Company,Pilot Rock Porter
1075,3.5,slaintemhor,Good wine without a cork screw.,American Porter,5.8,Caldera Brewing Company,Pilot Rock Porter
1075,5,Reidrover,Try It With Ice Cold Mtn Dew,American Porter,5.8,Caldera Brewing Company,Pilot Rock Porter
1075,4.5,Gavage,I Would Buy This Drink Again And Again If,American Porter,5.8,Caldera Brewing Company,Pilot Rock Porter
1075,3.5,Thrasher,Great Product,American Porter,5.8,Caldera Brewing Company,Pilot Rock Porter
1075,2.5,RedDiamond,Fantastic,American Porter,5.8,Caldera Brewing Company,Pilot Rock Porter
1075,3.5,BilbosNuts,Surprising And Refreshing,Belgian Strong Dark Ale,8.1,Caldera Brewing Company,Vas Deferens Ale
1075,3,n2185,Red Wine,Belgian Strong Dark Ale,8.1,Caldera Brewing Company,Vas Deferens Ale
1075,4,Knapp85,Excellent blend.,Belgian Strong Dark Ale,8.1,Caldera Brewing Company,Vas Deferens Ale
1075,3.5,russpowell,Very Nice,Belgian Strong Dark Ale,8.1,Caldera Brewing Company,Vas Deferens Ale
1075,4,mjyoung,Tequillas,Belgian Strong Dark Ale,8.1,Caldera Brewing Company,Vas Deferens Ale
1075,3.5,phichifiji00,Plata,Belgian Strong Dark Ale,8.1,Caldera Brewing Company,Vas Deferens Ale
1075,3.5,mgbickel,good tequila for a fair price,Belgian Strong Dark Ale,8.1,Caldera Brewing Company,Vas Deferens Ale
1075,4,vande,Would buy again,Belgian Strong Dark Ale,8.1,Caldera Brewing Company,Vas Deferens Ale
